Group_Detector,Right Ascension (Ra),Declination (Dec),Time Delay (t),Luminosity Distance (Dist),Polarization Angle (Pol),Mass (M),Inclination Angle (iota),Mass Ratio (eta),Initial Phase (phi)
group_79_ET_3,44.30068802984655,66.58092417847543,0.0018135775748086504,244.9219535254111,69.66266386962363,0.000693857235203513,338.47215663980666,0.0006743586585289219,624.992258237459
group_80_ET_1,135.32814349343877,5.811057669902599,0.0014351520204629645,1326.7247192270331,1452.527698427168,0.0016995030123507452,3481.1392047838467,0.0016587704827160424,429.1472569175688
group_80_ET_2,80.0677217858603,3.4379122249471235,0.0023541134037118054,1946.7640934894719,4498.522528226355,0.0021376119761527573,3308.9468074495117,0.002084874437497935,4203.6200871510455
group_80_ET_3,407.7821195740134,17.5085870529554,0.003679244260005832,2445.864092417556,5291.812373544034,0.004391036577606469,4168.815266481089,0.004304285262524577,5107.467733453022
group_81_ET_1,265.4931277486822,16.3519612642586,0.004998503902714986,207.47317748596117,244.49839013194807,0.001297793503287332,255.00446786685873,0.0012617879946626549,571.6466661008182
group_81_ET_2,469.18748372281783,28.997589518818742,0.005238880870347116,34.18365385678926,889.6233898590116,0.0014551141057900716,228.4899561920582,0.0014227373152833722,1698.7426637878268
group_81_ET_3,208.51873816152647,12.85487569081547,0.0033332975817411585,105.8580107779426,320.72503249896243,0.0011288347457539065,307.6394786573708,0.0010972552272894022,692.7552625210443
group_82_ET_1,218.2467004108163,2.9651237094795873,0.011038598708716842,375.7077187423702,603.4650082451249,0.002275203839606791,463.3104885601461,0.0022206412450545775,1448.6275899116945
group_82_ET_2,281.7467553332937,3.9252217795758875,0.015000474283708546,20.94273544079236,1281.493520378165,0.002818471075847046,135.12794352568577,0.0027522860645355345,2832.901064415122
group_82_ET_3,267.96528620092226,3.5303273065559164,0.01641302491641385,75.0996180763677,115.35689447642369,0.0033159504977582125,201.01137331017685,0.0032295658470918743,465.33935754414034
group_83_ET_1,72.70131024742454,1.672360918483502,0.004316238321913394,48.84828012300781,484.4732777797514,0.0008770274136781998,87.52176366236361,0.0008496723282265041,958.6902686964906
group_83_ET_2,148.06348438332796,3.20497984859511,0.004478964470550352,292.20121182227507,655.9592217234315,0.0008399989883851094,527.7368691454112,0.0008140869170176827,1333.3250233231693
group_83_ET_3,164.4715980015753,3.570067842263996,0.004107640558284911,218.68503117762546,661.2726983677951,0.000815309059883458,527.1223740863252,0.0007919484754714925,1346.8237126762153
group_84_ET_1,208.97872532115633,85.51897832484427,0.015143898743041544,200.7789800805045,847.3500213411563,0.0030271585938151527,281.34439501464976,0.0029539599985340336,1944.4957841342039
group_84_ET_2,92.24390114271792,37.90281413136737,0.011064135038576518,279.78621392280115,368.07283634533496,0.001999772700483338,452.08539179528043,0.0019429950403066858,576.2976994166509
group_84_ET_3,167.63040937645312,68.3653160672437,0.016412155705819487,1311.2569578048865,1503.8243838146313,0.002615749893362191,2093.728263630196,0.002549544195307164,3545.651998180665
group_85_ET_1,19.57240019408445,11.258901302615696,0.011812189285208205,171.61654618506304,567.7468301619641,0.0013961641699468208,390.09442790646864,0.0013526590014479607,1156.3083914289368
group_85_ET_2,8.94615765185442,5.113715085793159,0.010156671302514774,38.652600829735306,535.7323327878732,0.0011202524580212782,78.94387342680628,0.0010842959070426186,1080.2375260179278
group_85_ET_3,25.114724203323643,13.61434141930962,0.011342442281544463,119.71225731521297,733.5254336141685,0.0011529302162877474,232.2703166371683,0.0011154352543148935,1435.27203784454
group_86_ET_1,66.22671111239846,61.73959714201864,0.004049811630898102,108.16301635482098,1557.0239230699913,0.00201702713089708,125.77936399271395,0.001963596792094627,3855.8887271011076
group_86_ET_2,178.25574501793972,166.26496326482592,0.006346651119070733,147.20523268370474,909.0137695192996,0.00296045032179395,103.97803981450004,0.002879577812703024,2163.945986771087
group_86_ET_3,81.39046829062592,76.02012804412911,0.006777706122894663,156.65890276180787,612.7906501753831,0.0018604920114630506,58.463162086879166,0.0018068093091736731,1457.6740407417706
group_87_ET_1,14.35393483086546,20.566001637948037,0.003083271097173309,905.7735914928654,478.6158047722564,0.0005920904744924441,2081.5918078128902,0.000573705672861866,946.9059848067758
